ID,Item_Outlet_Sales
FDW58OUT049,1443.7987793103443
FDW14OUT017,1467.8507136842102
NCN55OUT010,579.6709787234045
FDQ58OUT017,2230.899564210526
FDY38OUT027,5609.657911027532
FDH56OUT046,2062.5471984000005
FDL48OUT018,629.0179469387754
FDC48OUT027,2138.6147326086957
FDN33OUT045,1554.8990769230768
FDA36OUT017,2976.862745901639
FDT44OUT017,2002.671826229508
FDQ56OUT045,1300.9381578947368
NCC54OUT019,579.6709787234045
FDU11OUT049,2062.5471984000005
DRL59OUT013,806.0360604651165
FDM24OUT049,2439.4859574803154
FDI57OUT045,3058.7650959999987
DRC12OUT018,2738.6295916666654
NCM42OUT027,2734.704145833333
FDA46OUT010,443.1992814285715
FDA31OUT013,2969.5644262068968
NCJ31OUT035,4036.5720145833325
FDG52OUT046,736.2284184397168
NCL19OUT019,339.83086885245893
FDS10OUT035,2969.5644262068968
FDX22OUT010,540.6296000000001
NCF19OUT035,736.2284184397168
NCE06OUT046,2490.6059508771928
DRC27OUT046,4036.5720145833325
FDE21OUT035,2071.0065678571436
NCR42OUT019,80.37157142857143
FDX51OUT018,2738.6295916666654
NCR06OUT018,629.0179469387754
FDU31OUT027,5583.944839531058
FDU59OUT017,2490.6059508771928
FDR03OUT027,5583.944839531058
FDS49OUT027,2254.1243035087723
FDD48OUT010,226.1515972413793
NCF18OUT017,2976.862745901639
NCD43OUT027,2734.704145833333
NCD54OUT018,1913.8421000000005
FDY19OUT010,226.1515972413793
NCY54OUT017,3051.3035043478253
NCL19OUT018,1913.8421000000005
FDP23OUT010,540.6296000000001
FDC26OUT013,1783.4539305263156
FDR14OUT010,134.54361562500003
NCS41OUT035,2976.862745901639
FDF41OUT035,4320.813725714288
FDU34OUT046,2144.234507692309
DRH11OUT046,903.9705953488373
FDM03OUT013,1800.6448786516855
FDS31OUT017,2969.5644262068968
FDJ20OUT017,2002.671826229508
FDV44OUT027,4858.6629377358495
FDG02OUT049,3406.2586563106797
FDA09OUT013,2969.5644262068968
FDT04OUT013,548.8336101694914
FDL58OUT019,579.6709787234045
FDE52OUT045,1467.8507136842102
FDW12OUT035,2230.899564210526
FDL51OUT017,3332.6921636363627
NCY42OUT027,3960.442038926174
FDR07OUT017,1554.8990769230768
